"id_song"	"title"	"id_artist"	"artist"
3829	crawling king snake	12175	doors
64618	when my little girl is smiling	17605	drifters
68392	you're more than a number in m	17605	drifters
917027	last good time in town	12607	eagles
19192	one of these nights	12607	eagles
917028	i love to watch a woman dance	12607	eagles
19195	life in the fast lane	12607	eagles
917045	center of the universe	12607	eagles
916945	no more walks in the wood	12607	eagles
916947	what do i do with my heart	12607	eagles
19189	lyin' eyes	12607	eagles
116010	the "l" word	10380	earth wind & fire
71434	evolution orange	10380	earth wind & fire
20124	something special	10380	earth wind & fire
71433	my love	10380	earth wind & fire
19007	new horizons	10380	earth wind & fire
101613	reasons	10380	earth wind & fire
19004	evil roy	10380	earth wind & fire
702944	this is how i feel	10380	earth wind & fire
78677	goodbye yellow brick road	20595	elton john
78694	kiss the bride	20595	elton john
70909	return to paradise	20595	elton john
24643	candy by the pound	20595	elton john
24641	satellite	20595	elton john
70915	shooting star	20595	elton john
25539	fascist faces	20595	elton john
78682	philadelphia freedom	20595	elton john
762855	international echo	94768	elvis costello
31145	hurry down doomsday (the bugs are taking over)	94768	elvis costello
423567	my little blue window	94768	elvis costello
985988	harry worth	94768	elvis costello
1028386	i felt the chill before the winter come	94768	elvis costello
201151	it's time	94768	elvis costello
1028388	hidden shame	94768	elvis costello
762858	six-fingered man	94768	elvis costello
34579	too much	21133	elvis presley
655745	always on my mind	21133	elvis presley
492045	i want you i need you i love you	21133	elvis presley
34585	wear my ring around your neck	21133	elvis presley
34463	got a lot of livin' to do	21133	elvis presley
452064	lonesome cowboy	21133	elvis presley
155815	good luck charm	21133	elvis presley
440733	burning love	21133	elvis presley
1067739	no love	76243	eminem
1067680	talkin' 2 myself	76243	eminem
362964	remember me?	76243	eminem
1067737	seduction	76243	eminem
362901	stan	76243	eminem
276852	if i had	76243	eminem
276849	my name is	76243	eminem
612185	just lose it	76243	eminem
385818	third degree	20450	eric clapton
534785	little queen of spades	20450	eric clapton
245536	going down slow	20450	eric clapton
798378	last will and testament	20450	eric clapton
697924	one track mind	20450	eric clapton
534786	they re red hot	20450	eric clapton
12628	knock on wood	20450	eric clapton
697925	run home to me	20450	eric clapton
285366	carrie	11695	europe
289269	i want it all	10280	eurythmics
375706	i need a man	10280	eurythmics
44089	thorn in my side	10280	eurythmics
289267	peace is just a word	10280	eurythmics
19087	shame	10280	eurythmics
19085	do you want to break up?	10280	eurythmics
289263	i saved the world today	10280	eurythmics
19939	when the day goes down	10280	eurythmics
14654	cathy's clown	20509	everly brothers
18525	be bop a lula	20509	everly brothers
14650	'til i kissed you	20509	everly brothers
14659	so sad (to watch good love go bad)	20509	everly brothers
18519	lucille	20509	everly brothers
18521	maybe tomorrow	20509	everly brothers
18530	poor jenny	20509	everly brothers
729257	devoted to you	20509	everly brothers
124716	in the still of the night	21639	five satins
210660	time was	21641	flamingos
177963	hollywood (some other kind of town)	9847	fleetwood mac
21331	freedom	9847	fleetwood mac
3472	someone's gonna get their head	9847	fleetwood mac
113796	don't stop	9847	fleetwood mac
3465	love that burns	9847	fleetwood mac
3460	i loved another woman	9847	fleetwood mac
3466	lazy poker blues	9847	fleetwood mac
21322	love is dangerous	9847	fleetwood mac
87494	waiting for a girl like you	10208	foreigner
381685	urgent	10208	foreigner
87488	prisoner of love	10208	foreigner
87501	rev on the red line	10208	foreigner
68673	cold as ice	10208	foreigner
87500	i don't want to live without you	10208	foreigner
87498	say you will	10208	foreigner
87496	double vision	10208	foreigner
16656	bernardette	17459	four tops
64869	reach out i'll be there	17459	four tops
16661	yesterday's dreams	17459	four tops
16664	just seven numbers (can straighten out my life)	17459	four tops
16652	something about you	17459	four tops
16649	ask the lonely	17459	four tops
16660	if i were a carpenter	17459	four tops
16655	standing in the shadows of love	17459	four tops
210651	granada	25142	frank sinatra
680327	young at heart	25142	frank sinatra
616664	why do fools fall in love	124358	frankie lymon and the teenagers
706045	the fallen	88688	franz ferdinand
706049	walk away	88688	franz ferdinand
528508	this fire	88688	franz ferdinand
706054	what you meant	88688	franz ferdinand
706055	i'm your villain	88688	franz ferdinand
1014254	katherine kiss me	88688	franz ferdinand
1014251	can't stop feeling	88688	franz ferdinand
706053	well that was easy	88688	franz ferdinand
231572	i'm not in love	55722	fun lovin' criminals
58814	hurtin' for you baby	21489	gene vincent
58821	say mama	21489	gene vincent
58818	i'm a lonesome fugitive	21489	gene vincent
58809	ruby baby	21489	gene vincent
58810	aint that too much	21489	gene vincent
58813	lonely street	21489	gene vincent
58816	born to be a rolling stone	21489	gene vincent
58812	love is a bird	21489	gene vincent
4767	what is life	20559	george harrison
167468	i dig love	20559	george harrison
382547	my sweet lord	20559	george harrison
23086	that's what it takes	20559	george harrison
23090	when we was fab	20559	george harrison
23091	devil's radio	20559	george harrison
23088	just for today	20559	george harrison
167470	hear me lord	20559	george harrison
231566	wichita lineman	21265	glen campbell
78740	guess who	23900	gloria gaynor
4664	walk on by	23900	gloria gaynor
78742	love affair	23900	gloria gaynor
4663	all i need is your good loving	23900	gloria gaynor
4658	never can say goodbye	23900	gloria gaynor
4665	we can start all over again	23900	gloria gaynor
4662	do it yourself (if you want it)	23900	gloria gaynor
78739	i'll apologize	23900	gloria gaynor
760545	who cares?	107710	gnarls barkley
756945	crazy	107710	gnarls barkley
974427	run (i'm a natural disaster)	107710	gnarls barkley
974385	charity case	107710	gnarls barkley
974429	would be killer	107710	gnarls barkley
760530	gone daddy gone	107710	gnarls barkley
974466	surprise	107710	gnarls barkley
760549	storm coming	107710	gnarls barkley
366401	fashion victim	50527	green day
603824	american idiot	50527	green day
159354	having a blast	50527	green day
159357	welcome to paradise	50527	green day
489225	private hell	50527	green day
159356	longview	50527	green day
1022712	know your enemy	50527	green day
