"id"	"tag"
200	rhythmic
201	garage
201	hard rock
201	chaotic
201	energy
201	powerful
201	repetitive
201	rhythmic
202	garage
202	new wave
202	singer-songwriter
202	aggressive
202	lazy
202	repetitive
202	rhythmic
202	vintage
202	weird
203	rock pop
203	singer-songwriter
203	catchy
203	holiday
203	light
203	rhythmic
203	travel
204	garage
204	hard rock
204	aggressive
204	confused
204	noise
204	repetitive
204	rhythmic
205	hard rock
205	punk
205	aggressive
205	chaotic
205	noise
205	shock
205	trance
205	violence
206	garage
206	new wave
206	singer-songwriter
206	aggressive
206	chaotic
206	powerful
206	rhythmic
206	strong
207	rhythm and blues
207	soft pop
207	confident
207	emotional
207	love
207	melodic
207	romantic
207	soft
208	rhythm and blues
208	soul
208	blue
208	love
208	mellow
208	rhythmic
208	romantic
208	soft
209	romantic
209	slow
209	chic
209	glamour
209	melodic
209	romantic
209	soft
209	suggestive
210	rhythm and blues
210	singer-songwriter
210	slow
210	soul
210	emotional
210	intense
210	love
210	melancholic
210	rhythmic
210	romantic
210	soft
210	soulful
210	sweet
211	rock pop
211	romantic
211	confident
211	delicate
211	emotional
211	love
211	melodic
211	romantic
211	soft
212	rhythm and blues
212	soul
212	emotional
212	melodic
212	rhythmic
212	romantic
212	soft
213	rhythm and blues
213	slow
213	soul
213	confident
213	emotional
213	melancholic
213	mellow
213	romantic
213	soft
213	soulful
214	rhythm and blues
214	singer-songwriter
214	slow
214	soul
214	breathing
214	chic
214	delicate
214	despair
214	emotional
214	love
214	mellow
214	melodic
214	remembrance
214	romantic
214	smooth
214	soft
214	suggestive
215	hip-hop
215	rap
215	beat
215	chaotic
215	club
215	repetitive
215	rhythmic
216	dance pop
216	hip-hop
216	rap
216	beat
216	energy
216	fast
216	movement
216	night
216	repetitive
216	rhythmic
217	dance pop
217	hip-hop
217	rap
217	beat
217	city
217	energy
217	movement
217	night
217	repetitive
218	hip-hop
218	romantic
218	slow
218	love
218	melancholic
218	rhythmic
218	romantic
218	smooth
218	soft
219	dance pop
219	hip-hop
219	agitated
219	beat
219	fast
219	frantic
219	rhythmic
220	hip-hop
220	r&b
220	beat
220	mellow
220	movement
220	night
220	sexy
221	dance pop
221	hip-hop
221	singer-songwriter
221	beat
221	chaotic
221	city
221	night
221	repetitive
221	rhythmic
222	dance pop
222	hip-hop
222	singer-songwriter
222	beat
222	city
222	night
222	repetitive
222	rhythmic
223	rhythm and blues
223	rock & roll
223	slow
223	soul
223	fast
223	passionate
223	rhythmic
223	soulful
223	suggestive
223	touching
224	classic rock
224	rhythm and blues
224	rock & roll
224	rock '50
224	singer-songwriter
224	acoustic
224	ballroom
224	catchy
224	despair
224	energy
224	enthusiastic
224	exciting
224	intense
224	powerful
224	rhythmic
225	rhythm and blues
225	rock & roll
225	rock blues
225	ballroom
225	energy
225	fast
225	movement
225	powerful
226	worldbeat
226	breezy
226	catchy
226	cheerful
226	children
226	exotic
226	playful
226	summertime
227	electronic
227	rock & roll
227	singer-songwriter
227	bizarre
227	catchy
227	cheerful
227	energy
227	fast
227	movement
227	playful
227	rhythmic
228	rock & roll
228	singer-songwriter
228	bizarre
228	catchy
228	rhythmic
228	soft
228	vintage
229	country rock
229	singer-songwriter
229	bizarre
229	carefree
229	fast
229	holiday
229	movement
229	playful
230	funk rock
230	rhythm and blues
230	fast
230	joyful
230	movement
230	playful
230	rhythmic
231	rock & roll
231	rock pop
231	bizarre
231	breezy
231	bright
231	carefree
231	catchy
231	energy
231	fantasy
231	groove
231	playful
231	rhythmic
232	classic rock
232	rock & roll
232	rock '50
232	singer-songwriter
232	ballroom
232	energy
232	enthusiastic
232	fast
232	frantic
232	playful
232	rhythmic
232	vintage
232	virtuoso
233	rhythm and blues
233	rock & roll
233	romantic
233	singer-songwriter
233	slow
233	confident
233	emotional
233	love
233	melancholic
233	melodic
233	rhythmic
233	romantic
233	soft
233	soulful
234	rock & roll
234	energy
234	fast
234	insistent
234	movement
234	powerful
234	rhythmic
235	classic rock
235	rock & roll
235	singer-songwriter
235	smooth
235	catchy
235	confident
235	exciting
235	flowing
235	hopeful
235	passionate
235	romantic
235	sexy
235	soft
236	rhythm and blues
236	rock & roll
236	singer-songwriter
236	slow
236	soul
236	catchy
236	delicate
236	exciting
236	love
236	mellow
236	melodic
236	passionate
236	romantic
236	smooth
236	soft
236	soulful
236	vintage
237	classic rock
237	rock & roll
237	acoustic
237	ballroom
237	carefree
237	playful
237	positive
237	rhythmic
237	sexy
238	classic rock
238	rock & roll
238	singer-songwriter
238	ballroom
238	catchy
238	energy
238	fast
238	holiday
238	love
238	movement
238	optimistic
238	playful
238	positive
238	rhythmic
239	rock & roll
239	ballroom
239	energy
239	fast
239	movement
239	positive
239	rhythmic
240	classic rock
240	rock & roll
240	singer-songwriter
240	acoustic
240	breathing
240	countryside
240	lonely
240	melancholic
240	rhythmic
241	rock & roll
241	ballroom
241	carefree
241	energy
241	movement
241	rhythmic
242	rock & roll
242	rock '50
242	rock '60
242	singer-songwriter
242	catchy
242	exciting
242	hopeful
242	love
242	melodic
242	passionate
242	romantic
242	soft
242	vintage
243	honky tonk
243	carefree
243	catchy
243	movement
243	playful
243	rhythmic
244	rock pop
244	singer-songwriter
244	breezy
244	carefree
244	chic
244	desire
244	love
244	melodic
244	romantic
244	sexy
244	soft
245	rock pop
245	romantic
245	singer-songwriter
245	slow
245	confident
245	melancholic
245	melodic
245	rhythmic
245	romantic
245	soft
246	slow
246	soft pop
246	love
246	mellow
246	melodic
246	romantic
246	soft
247	slow
247	soft pop
247	love
247	mellow
247	melodic
247	romantic
247	soft
248	soft pop
248	catchy
248	confident
248	hopeful
248	love
248	romantic
248	soft
249	rock blues
249	rock pop
249	bright
249	energy
249	enthusiastic
249	movement
249	powerful
249	rhythmic
250	rock pop
250	singer-songwriter
250	carefree
250	catchy
250	optimistic
250	rhythmic
250	travel
251	rock pop
